budget,policy,macro recall,worst-client recall,budget usage,federation fpr
0.0010,eq_fpr,0.3778,0.0000,1.696,0.0017
0.0010,greedy,0.0533,0.0000,0.006,0.0000
0.0010,fabrid_macro,0.3778,0.0000,1.696,0.0017
0.0010,fabrid_cvar,0.3778,0.0000,1.696,0.0017
0.0010,fabrid_macro_finite_safe,0.2445,0.0000,0.358,0.0004
0.0010,fabrid_cvar_finite_safe,0.2445,0.0000,0.358,0.0004
0.0010,fabrid_macro_no_rate_minimization,0.3778,0.0000,1.696,0.0017
0.0010,common_rate_macro,0.3778,0.0000,1.696,0.0017
0.0010,eq_fpr_matched_macro,0.3111,0.0000,0.954,0.0010
0.0010,eq_fpr_matched_cvar,0.3111,0.0000,0.954,0.0010
0.0010,pooled_shared,0.8666,0.6000,2.359,0.0024
0.0025,eq_fpr,0.4445,0.0000,0.965,0.0024
0.0025,greedy,0.0533,0.0000,0.003,0.0000
0.0025,fabrid_macro,0.4222,0.0000,1.031,0.0026
0.0025,fabrid_cvar,0.4222,0.0000,1.031,0.0026
0.0025,fabrid_macro_finite_safe,0.3111,0.0000,0.381,0.0010
0.0025,fabrid_cvar_finite_safe,0.3111,0.0000,0.381,0.0010
0.0025,fabrid_macro_no_rate_minimization,0.4577,0.0000,1.129,0.0028
0.0025,common_rate_macro,0.4445,0.0000,0.964,0.0024
0.0025,eq_fpr_matched_macro,0.5556,0.0000,1.194,0.0030
0.0025,eq_fpr_matched_cvar,0.5556,0.0000,1.194,0.0030
0.0025,pooled_shared,0.9111,0.6000,1.328,0.0033
0.0050,eq_fpr,0.8444,0.0000,1.445,0.0072
0.0050,greedy,0.0533,0.0000,0.001,0.0000
0.0050,fabrid_macro,0.4644,0.0000,0.706,0.0035
0.0050,fabrid_cvar,0.4977,0.0000,1.290,0.0064
0.0050,fabrid_macro_finite_safe,0.3422,0.0000,0.364,0.0018
0.0050,fabrid_cvar_finite_safe,0.4222,0.0000,0.884,0.0044
0.0050,fabrid_macro_no_rate_minimization,0.5511,0.0000,1.118,0.0056
0.0050,common_rate_macro,0.8333,0.0000,1.443,0.0072
0.0050,eq_fpr_matched_macro,0.6133,0.0000,1.266,0.0063
0.0050,eq_fpr_matched_cvar,0.7333,0.0000,1.393,0.0070
0.0050,pooled_shared,0.9732,0.7600,0.999,0.0050
0.0100,eq_fpr,0.9999,0.9998,1.683,0.0168
0.0100,greedy,0.0533,0.0000,0.001,0.0000
0.0100,fabrid_macro,0.5444,0.0000,0.739,0.0074
0.0100,fabrid_cvar,0.7266,0.0000,1.480,0.0148
0.0100,fabrid_macro_finite_safe,0.4422,0.0000,0.616,0.0062
0.0100,fabrid_cvar_finite_safe,0.5889,0.0000,0.948,0.0095
0.0100,fabrid_macro_no_rate_minimization,0.7777,0.0000,2.292,0.0229
0.0100,common_rate_macro,0.9999,0.9998,1.683,0.0168
0.0100,eq_fpr_matched_macro,0.8888,0.0000,0.918,0.0092
0.0100,eq_fpr_matched_cvar,0.9555,0.5999,1.301,0.0130
0.0100,pooled_shared,0.9999,0.9996,0.864,0.0086
0.0200,eq_fpr,1.0000,0.9999,1.876,0.0375
0.0200,greedy,0.0533,0.0000,0.000,0.0000
0.0200,fabrid_macro,0.7444,0.0000,1.403,0.0281
0.0200,fabrid_cvar,0.8444,0.0000,1.748,0.0350
0.0200,fabrid_macro_finite_safe,0.6600,0.0000,1.207,0.0241
0.0200,fabrid_cvar_finite_safe,0.7711,0.0000,1.450,0.0290
0.0200,fabrid_macro_no_rate_minimization,0.8444,0.0000,1.892,0.0378
0.0200,common_rate_macro,1.0000,0.9999,1.873,0.0375
0.0200,eq_fpr_matched_macro,1.0000,0.9999,0.911,0.0182
0.0200,eq_fpr_matched_cvar,1.0000,0.9999,1.162,0.0232
0.0200,pooled_shared,0.9999,0.9997,0.864,0.0173
