budget,policy,solver runtime (ms),fallback rate
false_positive_0p001,eq_fpr,—,0.0000
false_positive_0p001,greedy,—,0.0000
false_positive_0p001,fabrid_macro,98.6,0.0000
false_positive_0p001,fabrid_cvar,310.3,0.0000
false_positive_0p001,fabrid_macro_finite_safe,98.5,0.0000
false_positive_0p001,fabrid_cvar_finite_safe,316.1,0.0000
false_positive_0p001,fabrid_macro_no_rate_minimization,65.6,0.0000
false_positive_0p001,common_rate_macro,—,0.0000
false_positive_0p001,eq_fpr_matched_macro,—,0.0000
false_positive_0p001,eq_fpr_matched_cvar,—,0.0000
false_positive_0p001,pooled_shared,—,0.0000
false_positive_0p0025,eq_fpr,—,0.0000
false_positive_0p0025,greedy,—,0.0000
false_positive_0p0025,fabrid_macro,95.7,0.0000
false_positive_0p0025,fabrid_cvar,316.2,0.0000
false_positive_0p0025,fabrid_macro_finite_safe,101.8,0.0000
false_positive_0p0025,fabrid_cvar_finite_safe,316.2,0.0000
false_positive_0p0025,fabrid_macro_no_rate_minimization,77.8,0.0000
false_positive_0p0025,common_rate_macro,—,0.0000
false_positive_0p0025,eq_fpr_matched_macro,—,0.0000
false_positive_0p0025,eq_fpr_matched_cvar,—,0.0000
false_positive_0p0025,pooled_shared,—,0.0000
false_positive_0p005,eq_fpr,—,0.0000
false_positive_0p005,greedy,—,0.0000
false_positive_0p005,fabrid_macro,358.8,0.0000
false_positive_0p005,fabrid_cvar,1409.6,0.0000
false_positive_0p005,fabrid_macro_finite_safe,387.8,0.0000
false_positive_0p005,fabrid_cvar_finite_safe,1390.2,0.0000
false_positive_0p005,fabrid_macro_no_rate_minimization,75.6,0.0000
false_positive_0p005,common_rate_macro,—,0.0000
false_positive_0p005,eq_fpr_matched_macro,—,0.0000
false_positive_0p005,eq_fpr_matched_cvar,—,0.0000
false_positive_0p005,pooled_shared,—,0.0000
false_positive_0p010,eq_fpr,—,0.0000
false_positive_0p010,greedy,—,0.0000
false_positive_0p010,fabrid_macro,133.3,0.0000
false_positive_0p010,fabrid_cvar,3883.1,0.0000
false_positive_0p010,fabrid_macro_finite_safe,141.5,0.0000
false_positive_0p010,fabrid_cvar_finite_safe,3957.6,0.0000
false_positive_0p010,fabrid_macro_no_rate_minimization,106.4,0.0000
false_positive_0p010,common_rate_macro,—,0.0000
false_positive_0p010,eq_fpr_matched_macro,—,0.0000
false_positive_0p010,eq_fpr_matched_cvar,—,0.0000
false_positive_0p010,pooled_shared,—,0.0000
false_positive_0p020,eq_fpr,—,0.0000
false_positive_0p020,greedy,—,0.0000
false_positive_0p020,fabrid_macro,193.7,0.0000
false_positive_0p020,fabrid_cvar,1382.9,0.0000
false_positive_0p020,fabrid_macro_finite_safe,168.8,0.0000
false_positive_0p020,fabrid_cvar_finite_safe,1361.8,0.0000
false_positive_0p020,fabrid_macro_no_rate_minimization,71.5,0.0000
false_positive_0p020,common_rate_macro,—,0.0000
false_positive_0p020,eq_fpr_matched_macro,—,0.0000
false_positive_0p020,eq_fpr_matched_cvar,—,0.0000
false_positive_0p020,pooled_shared,—,0.0000
